web-scraper-order,web-scraper-start-url,Article-Links,Article-Links-href,Articles-Content,gist
"1699700633-1","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","Sailor Murphy and boxer Barnes join world and European champion rower Sanita Puspure, Olympians in modern pentathlete Natalya Coyle, race walker Brendan Boyce and rower Claire Lambe as new Athletes' Commission members.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-2","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","Skier Shane O’ Connor and hockey player David Harte complete the line-up who will be in post until their term ends after the 2024 Olympics in Paris.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-3","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","A total of 13 applicants ran as candidates with all Irish Olympians eligible to cast their vote online.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-4","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","O’Connor was automatically elected as it is mandatory to have at least one winter sport athlete.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-5","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","""Congratulations to all the successful candidates who have now become members of the Olympic Federation of Ireland Athletes’ Commission,"" said Sarah Keane, President of the Olympic Federation of Ireland.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-6","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","""We are confident that the athlete voice will be represented well and that you will continue to drive sport forward, each of you bringing with you a wealth of experience,"" she added.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-7","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","Keane also thanked the outgoing members for their support over the years.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-8","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","""I also want to thank the outgoing Athletes’ Commission who have worked really hard in important areas in sport, from athlete welfare and representation on decision making groups, to driving initiatives that Irish athletes wanted to back, such as anti-doping and tackling racism and discrimination.""","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700633-9","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission","https://www.insidethegames.biz/articles/1118245/irish-olympic-athletes-commission","The new Commission is set to meet virtually over the coming weeks and will hold its first official meeting soon.","Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission."
"1699700637-10","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","The Guam Basketball Confederation (GBC) have previously hosted the Chinese Taipei and New Zealand national teams for the International Basketball Federation (FIBA) Asia Cup qualifiers.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-11","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","This year's event is due to be held between June 8 and 15 in the capital Hagåtña.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-12","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","Guam is a territory of the United States.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-13","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","""We are excited to bring international competition back to Guam and to host our neighbours in the Micronesian region in these important games is a real honour,"" said GBC President EJ Calvo.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-14","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","Guam is set to welcome the men’s and women’s teams from Federated States of Micronesia, Kiribati, Marshall Islands, Nauru, Northern Marianas Islands and Palau. who will be seeking places in next year's Pacific Games, due to be held in the Solomon Islands between November 19 and December 1.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-15","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","The Pacific Games is scheduled to serve as the qualifying event for FIBA Asia Cup pre-qualifiers and the women’s FIBA Asia Cup Division B.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-16","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","Guam won the men's tournament at the 2019 Pacific Games in Apia in Samoa.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-17","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","American Samoa won the gold medal in the women's event.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-18","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","The 2018 Micronesian Games, a multi-sport event in the region, served as the qualifying event for the 2019 Pacific Games.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-19","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","""We are excited to host another event in Guam and are looking forward to seeing the Micronesian teams take to the court for the first time since the 2018 Micronesian Games,"" FIBA Oceania executive director Crocker said.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-20","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","Guam is also due to host the pre-qualifiers for the FIBA Asia Cup from May 30 to June 5.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-21","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","GBC President Calvo is not concerned by the busy schedule.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-22","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","""It’s an exciting period for Guam Basketball,"" he said.","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700637-23","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament","https://www.insidethegames.biz/articles/1118258/fiba-micronesian-cup","""Our players love representing the uniform and we cannot wait to get back out onto the court.""","Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced."
"1699700643-24","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","The gambling initiative was designed so that the fans have an opportunity to money while supporting Canadian athletes.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-25","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","A new competition, Team Canada Sweepstakes, has been introduced for the Winter Olympics.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-26","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","All supporters purchasing a Team Canada 50/50 ticket will be entered into a draw for a provincial jackpot.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-27","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","Sweepstakes ticket-holders have a chance to win a cash prize of CAD5,000 ($3,950/£2,950/€3,500).","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-28","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","""We are thrilled to launch this Team Canada 50/50 ahead of Beijing 2022,"" COF chief executive Jacquie Ryan said.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-29","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","""This initiative enables Canadians to win big while supporting high-performance sport in their home province.","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
"1699700643-30","https://www.insidethegames.biz/writers/24302/vimal-sankar?page=94","Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics","https://www.insidethegames.biz/articles/1118289/beijing-2022-winter-olympics-canada","""Every ticket purchase will truly make a difference - not only for the lives of those who win but for Canadian athletes nationwide who continue to develop their skills with the hopes of one day reaching the podium.""","After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022."
