Article-Link,Article-Gist,Article-Content
Olympic Federation of Ireland announces gender-balanced line-up for Athletes' Commission,Olympic medallists Annalise Murphy and Paddy Barnes are among those to have been elected to head the new gender-balanced Olympic Federation of Ireland Athletes’ Commission.,"Sailor Murphy and boxer Barnes join world and European champion rower Sanita Puspure, Olympians in modern pentathlete Natalya Coyle, race walker Brendan Boyce and rower Claire Lambe as new Athletes' Commission members.  Skier Shane O’ Connor and hockey player David Harte complete the line-up who will be in post until their term ends after the 2024 Olympics in Paris.  A total of 13 applicants ran as candidates with all Irish Olympians eligible to cast their vote online.  O’Connor was automatically elected as it is mandatory to have at least one winter sport athlete.  ""Congratulations to all the successful candidates who have now become members of the Olympic Federation of Ireland Athletes’ Commission,"" said Sarah Keane, President of the Olympic Federation of Ireland.  ""We are confident that the athlete voice will be represented well and that you will continue to drive sport forward, each of you bringing with you a wealth of experience,"" she added.  Keane also thanked the outgoing members for their support over the years.  ""I also want to thank the outgoing Athletes’ Commission who have worked really hard in important areas in sport, from athlete welfare and representation on decision making groups, to driving initiatives that Irish athletes wanted to back, such as anti-doping and tackling racism and discrimination.""  The new Commission is set to meet virtually over the coming weeks and will hold its first official meeting soon."
First FIBA Micronesian Cup in Guam to act as Pacific Games qualifying tournament,"Guam has been selected to host the inaugural FIBA Micronesian Cup later this year, which will be the official qualifying event for the 2023 Pacific Games, it has been announced.","The Guam Basketball Confederation (GBC) have previously hosted the Chinese Taipei and New Zealand national teams for the International Basketball Federation (FIBA) Asia Cup qualifiers.  This year's event is due to be held between June 8 and 15 in the capital Hagåtña.  Guam is a territory of the United States.  ""We are excited to bring international competition back to Guam and to host our neighbours in the Micronesian region in these important games is a real honour,"" said GBC President EJ Calvo.  Guam is set to welcome the men’s and women’s teams from Federated States of Micronesia, Kiribati, Marshall Islands, Nauru, Northern Marianas Islands and Palau. who will be seeking places in next year's Pacific Games, due to be held in the Solomon Islands between November 19 and December 1.  The Pacific Games is scheduled to serve as the qualifying event for FIBA Asia Cup pre-qualifiers and the women’s FIBA Asia Cup Division B.  Guam won the men's tournament at the 2019 Pacific Games in Apia in Samoa.  American Samoa won the gold medal in the women's event.  The 2018 Micronesian Games, a multi-sport event in the region, served as the qualifying event for the 2019 Pacific Games.  ""We are excited to host another event in Guam and are looking forward to seeing the Micronesian teams take to the court for the first time since the 2018 Micronesian Games,"" FIBA Oceania executive director Crocker said.  Guam is also due to host the pre-qualifiers for the FIBA Asia Cup from May 30 to June 5.  GBC President Calvo is not concerned by the busy schedule.  ""It’s an exciting period for Guam Basketball,"" he said.  ""Our players love representing the uniform and we cannot wait to get back out onto the court."""
Team Canada 50/50 lottery returns for Beijing 2022 Winter Olympics,"After a successful first run during the Tokyo 2020 Olympics, the Canadian Olympic Foundation (COF) has re-launched the Team Canada 50/50 lottery scheme for Beijing 2022.","The gambling initiative was designed so that the fans have an opportunity to money while supporting Canadian athletes.  A new competition, Team Canada Sweepstakes, has been introduced for the Winter Olympics.  All supporters purchasing a Team Canada 50/50 ticket will be entered into a draw for a provincial jackpot.  Sweepstakes ticket-holders have a chance to win a cash prize of CAD5,000 ($3,950/£2,950/€3,500).  ""We are thrilled to launch this Team Canada 50/50 ahead of Beijing 2022,"" COF chief executive Jacquie Ryan said.  ""This initiative enables Canadians to win big while supporting high-performance sport in their home province.  ""Every ticket purchase will truly make a difference - not only for the lives of those who win but for Canadian athletes nationwide who continue to develop their skills with the hopes of one day reaching the podium.""  Proceeds from the provincial raffles will be invested in the respective provincial sport system, part of COF efforts to fund infrastructure and people to support Canadian athletes."
U.S. Ski & Snowboard extends partnership with airweave,"U.S. Ski & Snowboard has decided to continue its partnership with official bedding supplier airweave, which is also title partner of the airweave Sleep Center housed at the national governing body's headquarters.","The Japanese brand has been a U.S. Ski & Snowboard partner since 2018.  ""Our athletes are consistently on the move between travel, training and competitions,"" said U.S. Ski & Snowboard chief revenue officer Michael O'Conor.  ""Sleeping well is extremely important, and one we prioritised by partnering with airweave four years ago.  ""Having airweave on board with our team through another Olympic Games is a crucial part of ensuring our athlete's preparation,"" O'Conor added.  The bedding company has also partnered with Alex Ferreira - a Pyeongchang 2018 silver medallist in men's ski halfpipe - aerials athlete Winter Vinecki, snowboard cross rider and three-time Olympian Faye Gulini, and retired Alpine skier Alice McKennis Duran, a two-time Olympian.  All four will be brand ambassadors.  As a part of the deal, all U.S. Ski & Snowboard athletes and staff at the 2022 Beijing Winter Olympics will be provided with customised mattress toppers and pillows.  ""I am very pleased to join the airweave family as an ambassador and as representative for how important sleep really is,"" said Ferreira.  ""Being in the most comfortable bed and producing the best possible sleep will be indicative to my success in Beijing for the 2022 Winter Olympic Games.  ""I will sleep hard so that I can ski harder."""
"Perry Barr sports hub to benefit from £500,000 upgrade after Commonwealth Games","Birmingham City Council and Sport England have come together with a £500,000 ($670,000/€600,000) plan to develop a new multi-purpose sporting facility at the Holford Drive Community Sports Hub (HDCSH) following the 2022 Commonwealth Games.","The idea is to develop a facility that can be used year-round by people in Perry Barr, the Birmingham area due to play a central role during this year's Commonwealth Games.  It is claimed that 800 people from Perry Barr and the surrounding areas use the existing HDCSH facility each week.  Yet come winter, the number drastically falls to 300 due to the lack of floodlit facilities at HDCSH.  It is hoped that winter usage will double following the renovations.  Sport England will contribute £366,685 ($495,000/€440,000) of the national lottery funding while Birmingham City Council will supply the remaining budget of £150,000 ($200,000/€180,000).  ""Local people are at the heart of our thinking when it comes to what the legacy of Birmingham 2022 will look like, and how it should provide opportunities for communities to get active,"" Sport England chief executive Tim Hollingsworth said.  ""As an important space within Perry Barr, investment to enhance Holford Drive and create a facility that can be used all year round is fantastic news, and a great example of how the impact of the Games can continue beyond 2022.""  Birmingham City Council leader Ian Ward added: ""As I've said all along, the legacy of Birmingham 2022 is massively important to us - the Games are more than 11 days of sport, and we need to look at how we build on the years of good work provided for the community by brilliant organisations like Holford Drive Community Sports Hub.""  Discussions on how to get the best out of the facility during the Commonwealth Games are underway.  Work on the proposed upgrades is scheduled to begin before the end of this year.  Birmingham 2022 chair John Crabtree called the plan ""another example of how Birmingham 2022 and its partners are trying to ensure that the Commonwealth Games leaves lasting benefits for the people of the host city""."
WKF and USA Karate officials discuss sport's bid to be in Los Angeles 2028 Olympics,Senior World Karate Federation (WKF) and USA Karate officials have met to discuss the sport's bid for inclusion at the Los Angeles 2028 Olympic Games.,"An action plan was broken down during the videoconference meeting, with WKF President Antonio Espinós among those taking part.  Chief executive Sara Wolff, senior adviser Francisco Alegrete, general secretary Toshihisa Nagura, and Athletes' Commission member Elisa Au all represented the WKF.  USA Karate chair Rahul Bawa and chief executive Phil Hampel dialed in, while Au is also a USA Karate Board member.  Principles from what is being dubbed the sport's LA28 project were laid out, as the WKF prepares to lobby for a second Olympic appearance.  ""We are going to put all our efforts and work to obtain karate's inclusion in the programme of LA 2028,"" Espinós said.  ""We are convinced that karate deserves to be an Olympic sport and we are confident that karate can bring great added value to the programme of LA 2028.  ""I would like to thank the USAKF officials headed by Rahul Bawa for their contribution and unyielding support.  ""I am sure that together we will achieve great success.""  Karate made its Olympic debut at Tokyo 2020, but is not on the programme for Paris 2024, much to the chagrin of the WKF.  Twenty-eight sports were last year recommended for inclusion at Los Angeles 2028 by the International Olympic Committee (IOC) Executive Board.  Modern pentathlon, boxing and weightlifting were all absent, but the IOC offered a ""pathway"" for all three to be added.  The Organising Committee can propose additional sports, but with 28 already on the programme plus those three potential additions, room is squeezed."
Vuelta a España departure to return to Barcelona in 2023 after 61-year absence,"Barcelona is set to play a major role in next year's Vuelta a España, one of cycling's three Grand Tours, including hosting the official departure.","The Catalonian city will also be the setting for second stage finish line, team presentation gala and filming of the official video clip of the La Vuelta 23.  Jaume Collboni, the Deputy Mayor of the Barcelona City Council, David Escudé, the Councillor for Sports, and Javier Guillén, general director of Vuelta a España, were all present for the announcement of the agreement.  The event, for which dates still have to be announced, will further increase Barcelona’s image as a sporting city, it is claimed.  The City Council and the race organisers are working together to focus on the city’s iconic landmarks during the first two stages of the race.  ""Today is a great day for Catalan and Spanish cycling as Barcelona is a city that has been traditionally linked with the world of sports and cycling.  To be the host of one of the three main cycling events worldwide fits perfectly with Barcelona’s international vocation,"" said Collboni.  Escudé was looking forward to the official departure of Vuelta a España, which will happen in Barcelona after a gap of 60 years.  ""A lot has happened in that time.  ""We are all for hosting large events and it makes all the sense in the world to bring La Vuelta to Barcelona, a city that is closely-linked to cycling, and has been for many years,"" he said.  Barcelona’s ties to cycling is evident as the city hosts major events like the Volta a Catalunya and the City of Barcelona International Track Cycling.  In 2009, the city also hosted two stages of the Tour de France, won by Spain's greatest cyclist Alberto Contador.  ""Cycling is a sport with a strong popular following, currently placed at number two in terms of viewing and practice within Europe. Bikes are an essential element in the sustainable development of cities, which is why we’re so thrilled to be able to participate in this project,"" La Vuelta general director Guillén said.  The Vuelta a España will also returning to Barcelona after the 2012 edition when the ninth stage of the race passed through Andorra and Montjuïc.  Belgian Philippe Gilbert emerged victorious back then.  The last time Barcelona hosted the official departure of Vuelta a España was in 1962, a stage won by Spain's Antonio Barrutia.  Next year's openings stages will be broadcast in almost 200 countries, Vuelta a España organisers claim.  A travelling caravan comprising of 2500 people, including media organisations and journalists, will be accompanying as the event goes on.  This year's Vuelta a España is due to start in Utrecht in The Netherlands on August 19 and conclude in Madrid on September 11.  Last year's race, won by Slovenia's Primož Roglič, started in Burgos on the Iberian Peninsula."
Actor Ye a star attraction at 2022 Hangzhou volunteer trials,Volunteer trials for the Hangzhou 2022 Asian Games had a surprise entry as actress Michelle Ye was spotted at the selection process.,"Ye went through several rounds of interviews just like the other candidates, according to a member of the Organising Committee.  Now 41, Ye was born in Hangzhou.  She shot to fame soon after winning the Miss Chinese International beauty pageant in 1999.  Ye starred in films including Accident, as well as the television series Eternal Happiness and Triumph in the Skies.  Her small-screen persona also extends to having been an on-site reporter for Hong Kong broadcaster TVB at the Athens 2004 Olympics.  Approximately 220,000 people, including 1,800 foreigners, have applied to be Hangzhou 2022 volunteers, according to organisers.  Around 15,000 candidates are fluent in foreign languages such as Japanese, Korean, French, Russian and Arabic.  Ye partially grew up in the United States and is fluent in English.  The enrollment process should largely be concluded by March, Hangzhou 2022 estimates.  Hangzhou 2022 is set to take place from September 10 to 25 this year, which would make it the third Chinese city to stage the Asian Games after Beijing in 1990 and Guangzhou in 2010."
Blitzboks chasing sixth World Rugby Sevens Series win in a row in Seville,"The fourth round of the World Rugby Sevens Series begins tomorrow in Seville, with South Africa's men seeking to maintain their 100 per cent record.","The Blitzboks have 66 points to top the men's standings, while Australia's women have 56 to lead their competition.  Australia did not reach the women's final last time out in Malaga, as instead the United States beat Russia to claim the top honour.  American co-captain Alena Olsen is proud of what the team achieved there and hopes to replicate that in Seville.  ""It feels good to have everything we’ve worked on in training come out on the field when it mattered and we couldn’t have asked for more,"" Olsen said.  Canada, England and series debutants Portugal join the US in Pool A.  Russia are paired with Ireland, Poland and Brazil in Pool B.  Leaders Australia find themselves with Olympic silver medallists France, Spain and Belgium in Pool C.  Teams from New Zealand, Fiji and Samoa will again be absent because of the COVID-19 pandemic.  South Africa's men, who edged past Argentina in the third-round final, will have a new leader in Impi Visser.  Visser replaces regular captain Siviwe Soyizwapi, who will miss out through injury, as the Blitzboks chase a four win of the season and sixth leg victory in a row.  An elated Visser is looking forward to wearing the armband for the first time.  ""To captain this side is a huge honour and privilege.  ""A lot of the guys that have captained before me are legends of the game that have stood in this position, so for me it is a real honour, and we plan to enjoy this weekend,"" Visser said  South Africa will take on the US and Spain in three-team Pool A as Samoa were unable to make it.  In Pool B, Argentina will be up against Ireland, Germany, and Jamaica.  England, France, Wales, and Japan are in Pool C while core series teams Australia, Canada, Scotland, and Kenya are placed in Pool D.  The three-day competition is set to conclude on Sunday (January 30)."
Indian football mourns the passing of Asian Games medallist Bhowmick,Former India footballer and Asian Games bronze medallist Subhas Bhowmick has died aged 71.,"Bhowmick, who had kidney problems and went on to work as a coach, died on January 22.  Bhowmick made his international debut at the age of 18.  He has represented India 24 times and scored nine goals in the process.  Bhowmick notably helped India to a bronze medal at the 1970 Asian Games in Bangkok, where he scored two goals.  The striker represented two of India’s biggest clubs - East Bengal and Mohun Bagan - and also won the Calcutta Football League with both the clubs.  He was also crucial in helping Bengal win four Santosh Trophy titles.  Bhowmick coached East Bengal and Mohun Bagan and also served as a technical director at Churchill Brothers after retiring in 1979.  Fondly called ""Bhombol Da"" by fans, players and peers, Bhowmick was a master tactician who guided East Bengal and Churchill Brothers to multiple national club titles.  ""His contribution towards the great legacy of Indian football as a player and a coach will forever be remembered,"" a Sports Authority of India statement read.  ""Condolences to his family and the football fraternity."""
